,Name,User Name,Following,Followers,Tweet,Favorite,RT,created at,treated Tweet
0,En Bloc Press,@en_bloc_press,77,5798,Imagine advocating for fiat and cash currencies and then calling BTC “fraud-enabling” https://t.co/qBIj1dOJKi,16,1,2021-07-20 23:59:52,imagine advocate for fiat and cash currency and then call BTC '' fraud -enabling '' https://t.co/qbij1dojki 
1,luna || crypto to gcash ~ 3% fee,@gelendigkeit,1405,1697,"Hello, I do trades po 🍾ʚ BNB/BUSD to gcash ʚ USDT to gcashʚ TRX to gcashʚ BTC to gcashʚ XRP to gcashʚ ETH to gcashand any other cryptocurrency.3% fee, you can also borrow my crypto address to claim your prize ✿",1,1,2021-07-20 23:59:19,"hello , I do trade po 🍾ʚ BNB / BUSD to gcash ʚ USDT to gcash TRX to gcash BTC to gcash XRP to gcash ETH to gcashand any other cryptocurrency . 3 % fee , you can also borrow my crypto address to claim you prize '' "
2,T-Plex,@tplexapp,38,1060,I never thought I would have said that once in my trader’s life but I’m now holding 124 #BTC spot! I’m a shrimp compared to these whales but I’ve never been that comfy to hold this coin and #crypto gods know how much I hate it!,25,1,2021-07-20 23:58:57,I never think I would have say that once in my trader 's life but I be now hold 124 # BTC spot ! I be a shrimp compare to this whale but I have never be that comfy to hold this coin and # crypto god know how much I hate it ! 
3,Jonny Moe,@JonnyMoeTrades,592,21696,"$BTC first daily close under $30k since New Year's Day. Under the lows at $28750 will make me more confident, but I will be genuinely shocked if we don't test the low twenty thousands at this point. https://t.co/E7XCEXDTMh",22,1,2021-07-20 23:58:53,"$ BTC first daily close under $ 30 k since New Year 's Day . under the low at $ 28750 will make I more confident , but I will be genuinely shocked if we do not test the low twenty thousand at this point . https://t.co/e7xcexdtmh "
4,Gaurav Tripathi,@CryptoTripathi,138,3402,"The markets are still frothy, things are out of proportion. Fear still remains dominant in the market. For that same reason, I am still on the sideline for now as I don't think that $BTC bottom is in just yet. The fear is now spreading to the conventional stock market. https://t.co/fkOUjf2YHH",3,1,2021-07-20 23:58:45,"the market be still frothy , thing be out of proportion . fear still remain dominant in the market . for that same reason , I be still on the sideline for now as I do not think that $ BTC bottom be in just yet . the fear be now spread to the conventional stock market . https://t.co/fkoujf2yhh "
5,Trent Richards,@trentrichards1,597,616,July 2021 Team AMA - Part 1Metrix CEO @trentrichards1 answers questions from #Metrix Telegram community members. He dispels rumors and explains the current state of the project. The future is looking bright for $MRX!Link: https://t.co/T0V32f3Ds1#crypto #altcoins $BTC $BNB,32,17,2021-07-20 23:57:32,July 2021 team AMA - part 1 Metrix ceo @trentrichards1 answer question from # Metrix Telegram community member . he dispel rumor and explain the current state of the project . the future be look bright for $ mrx ! link : https://t.co/t0v32f3ds1#crypto # altcoin $ btc $ bnb 
6,pleb_Greg Foss 🇨🇦 / 🇸🇻🌋,@FossGregfoss,1056,26015,I have never been so driven to rectify a wrong (Fiat) in my life.Fiat punishes the less privileged.  Fiat promotes inequality.#btc solves this stuff.Let's support @IBEX_Mercado and El SalvadorScrew @steve_hanke .  He is a squid.,440,38,2021-07-20 23:56:19,I have never be so drive to rectify a wrong ( Fiat ) in my life . Fiat punish the less privileged . Fiat promote inequality .# btc solve this stuff . let we support @IBEX _ Mercado and El Salvador screw @steve_hanke . he be a squid . 
7,Kripto Aksiyon,@KriptoAksiyon,332,2643,🦅 Our analysis of #bitcoin coin by 1 hourly time frame. 🦾💲 Coin :  $btc #bitcoin #binance #altcoin #cryptocurrency #Crypto https://t.co/4LBIDGreA5,9,4,2021-07-20 23:55:19,🦅 we analysis of # bitcoin coin by 1 hourly time frame . 🦾💲 coin : $ btc # bitcoin # binance # altcoin # cryptocurrency # crypto https://t.co/4lbidgrea5 
8,iHodl 🟩⚡️⚡️,@iTweet14670008,667,349,"@eric_lombrozo @gillesCadignan Yes, Bitcoin will be attacked in the coming years.This was assumed from day one.  Bitcoin was designed to withstand attack.  From the code level to the conviction of the plebs, #BTC is anti fragile.If it can’t survive, we’re fucked anyways.",21,2,2021-07-20 23:53:44,"@eric_lombrozo @gilles Cadignan yes , Bitcoin will be attack in the come year . this be assume from day one . Bitcoin be design to withstand attack . from the code level to the conviction of the pleb , # BTC be anti fragile . if it can not survive , we be fuck anyways . "
9,Sgt. Michael Sykes,@sgt_sykes,232,42,"@nayibbukele Since you came to the agenda with BTC, I have been following you as a citizen from Turkey.  You are an excellent head of state who should be taken as an example in all aspects of the world.  Greetings from Turkey, Mr. Nayib.",7,2,2021-07-20 23:53:42,"@nayibbukele since you come to the agenda with BTC , I have be follow you as a citizen from Turkey . you be a excellent head of state who should be take as a example in all aspect of the world . greeting from Turkey , Mr. Nayib . "
10,JMac,@jmccart10,753,1879,Bearish BTC https://t.co/vwQjEFp8ft,4,1,2021-07-20 23:53:24,Bearish btc https://t.co/vwqjefp8ft 
11,Welsh Wizard,@LeePric06833864,935,4622,@CryptoKaleo I thought you said we would NEVER see btc under 30k again But now it’s going to 29k 😂😂😂,33,1,2021-07-20 23:53:12,@Crypto Kaleo I think you say we would never see btc under 30 k again but now it be go to 29 k 😂😂😂 
12,Nina Wright,@ninafx_,126,43561,The  accumulation Phase ain’t over$shib$ass$btc$eth $ada$hokk$xrp$link$matic$btc,160,25,2021-07-20 23:52:11,the accumulation phase be not over shib ass $ btc$ eth $ ada$hokk $ xrp $ link $ matic $ btc 
13,Metrix,@MetrixCoin,164,20281,July 2021 Team AMA - Part 1Metrix CEO @trentrichards1 answers questions from #Metrix Telegram community members. He dispels rumors and explains the current state of the project. The future is looking bright for $MRX!Link: https://t.co/I1bp5qOzfc#crypto #altcoins $BTC $BNB,38,18,2021-07-20 23:51:50,July 2021 team AMA - part 1 Metrix ceo @trentrichards1 answer question from # Metrix Telegram community member . he dispel rumor and explain the current state of the project . the future be look bright for $ mrx ! link : https://t.co/i1bp5qozfc#crypto # altcoin $ btc $ bnb 
14,𝓖𝓸𝓭 𝓑𝓵𝓮𝓼𝓼 𝓨𝓸𝓾 🕊,@veazydoezit,64,170,@ladycryptonic @therealdogebtc 💎🕊EARN #BTC AS YOU #HODL https://t.co/Jqfz52jXe2 https://t.co/tfvmNEYthL#DogeBTC#cryptotrading #Cryptocurency #DOGE #BNB #BabyDoge #Crypto #cryptoart  #Binance #Bitcoin #CryptoNews #binancesmartchain #dogearmy #BSCGem #SAFU #DOGEBTCARMY https://t.co/bzngFxW1Qb,3,2,2021-07-20 23:51:11,@ladycryptonic @therealdogebtc 💎🕊EARN # btc as you # hodl https://t.co/jqfz52jxe2 https://t.co/tfvmneythl#dogebtc#cryptotrading # cryptocurency # doge # bnb # babydoge # crypto # cryptoart # binance # bitcoin # cryptonews # binancesmartchain # dogearmy # bscgem # safu # dogebtcarmy https://t.co/bzngfxw1qb 
15,The 5D Kid,@comicmatters,426,259,Converting a home deed into a non-fungible token (NFT) for the fiat value of the home.™️  Real Estate on the blockchain.  You heard it here first.  #eth #ethereum #btc.,2,1,2021-07-20 23:51:02,convert a home deed into a non-fungible token ( NFT ) for the fiat value of the home .™️ real estate on the blockchain . you hear it here first . # eth #ethereum # btc. 
16,Airdrope Zone,@FAltcoine,1789,570,Last chance to buy  Modex token at a very cheap price Before listing on #Binance New audit technology listed on UiPath Marketplace#BSC #BinanceSmartChain #PancakeSwap #BSCGem #ETH #DeFi #BNB #blockchain #BTC #ethereum #Bitcoin #SOLANA #Crypto #Cryptocurency #trx #Uniswap https://t.co/66cGJdjM3V,4,2,2021-07-20 23:50:05,last chance to buy Modex token at a very cheap price before list on # binance New audit technology list on UiPath Marketplace # BSC # BinanceSmart chain # pancake swap # BSCGem # ETH # DeFi # bnb # blockchain # BTC #ethereum # Bitcoin # SOLANA # crypto # cryptocurency # trx # uniswap https://t.co/66cgjdjm3v 
17,₳ Texas Mike from California ₳,@michaelruizbiz,2430,4936,"""Amp is valuable to be sold intra-network because it provides staking utility. In the event of hypothecation, Amp is autonomously sold to the open-market, and cyclically repurchased as rewards."" #amptoken $amp @FlexaHQ $doge $btc @amptoken https://t.co/pMyl52LbjW",7,2,2021-07-20 23:49:27,""" Amp be valuable to be sell intra-network because it provide stake utility . in the event of hypothecation , Amp be autonomously sell to the open-market , and cyclically repurchase as reward . "" # amptoken $ amp @ Flexa HQ $ doge $ btc @amptoken https://t.co/pmyl52lbjw "
18,Cryptocademy,@CryptocademyHQ,2,2267,"Issue 42 of the Cryptocademy newsletter is out! 🔥An easy way to identify targets in a trending market and updates on $BTC, $ETH, $DOT, and more!https://t.co/zxep0xJwgT",33,4,2021-07-20 23:46:59,"issue 42 of the Cryptocademy newsletter be out ! '' a easy way to identify target in a trending market and update on $ btc , $ ETH , $ dot , and more ! https://t.co/zxep0xjwgt "
19,Shrew,@Shrewdotcom,244,4383,If you missed the AMA today then you can catch it in our pinned posts on TG. https://t.co/Pnssvg6vA4#ama #shrew #shrewcrew #blockchain #crypto #cryptocurrency #btc #bnb #bscgems #binance #cryptonews #cryptoupdates,15,6,2021-07-20 23:45:27,if you miss the AMA today then you can catch it in we pinn post on TG . https://t.co/pnssvg6va4#ama # shrew # shrewcrew # blockchain # crypto # cryptocurrency # btc # bnb # bscgem # binance # cryptonew # cryptoupdate 
20,Dogecoin OG,@realDogecoinOG,504,7633,Pump on #Doge at the margin desks and the DOGE/BTC pair.  #Dogecoin #Dogearmy #DogeFam #DogeHouse,9,2,2021-07-20 23:45:07,Pump on # Doge at the margin desk and the DOGE / BTC pair . # Dogecoin # Dogearmy # DogeFam # DogeHouse 
21,Cointelegraph,@Cointelegraph,682,1098117,"You want the good news or bad news? #Bitcoin goes back to its pre-2021 level, leaving everyone speechless. The good news is that Binance order books are registering the strongest support level ever seen in crypto. https://t.co/znF1vVFzhX",241,50,2021-07-20 23:45:02,"you want the good news or bad news ? # Bitcoin go back to its pre -2021 level , leave everyone speechless . the good news be that binance order book be register the strong support level ever see in crypto . https://t.co/znf1vvfzhx "
22,Travladd Crypto,@OfficialTravlad,306,175243,"Update: PimpDoge is one of the projects I believe could do really well. A potential 5-10x token with a good entry point now that we’ve had a dip and reloading up for the next leg back up. NFA,DYOR #ad. #bnb #bsc #btc #crypto #cryptonews https://t.co/LV2NkT8sKK",523,42,2021-07-20 23:43:36,"update : pimp Doge be one of the project I believe could do really well . a potential 5 - 10 x token with a good entry point now that we have have a dip and reload up for the next leg back up . NFA , DYOR # ad . # bnb # bsc # btc # crypto # cryptonew https://t.co/lv2nkt8skk "
23,Saitama Inu Español,@SaitamaInuLatin,533,81,We are the next launch Be ready nonstop direct flight to the moon#saitamainu #SaitamaInuWolfPack #SaitaMask #saitama #shiba #SHIBARMY #ShibaArmy #Dogecoinarmy #btc #Ethereum #ADA #SAFEMOONARMY https://t.co/YFdHRFTUb5 https://t.co/7vgDgj2zzn,13,4,2021-07-20 23:42:42,we be the next launch be ready nonstop direct flight to the moon # saitamainu # SaitamaInuWolf pack # Saita mask # saitama # shiba # SHIBARMY # Shiba Army # Dogecoinarmy # btc # ethereum # ada # safemoonarmy https://t.co/yfdhrftub5 https://t.co/7vgdgj2zzn 
24,$SGE - KYHODL,@SGESPACEFORCE,178,3238,#SGE $SGE #cryptocurrency #cryptoartist #NFTcommuity #Polygon #Ethereum #nftcollector #NFTCommunity Also… #Defi each buy and sell burns and each holder continuously gains more tokens.. just by holding! #Crypto #altcoin #HODL #Bitcoin #btc #SAFEMOON #hoge https://t.co/dV3Z8B0ujV,7,2,2021-07-20 23:42:35,# SGE $ SGE # cryptocurrency # cryptoartist # NFTcommuity # Polygon # Ethereum #nftcollector # NFTCommunity also … # defi each buy and sell burn and each holder continuously gain more token .. just by hold ! # Crypto # altcoin # hodl # bitcoin # btc # safemoon # hoge https://t.co/dv3z8b0ujv 
25,₿randon Crypto Trades & Tech (CTT),@Crypt0Jed1,128,3526,$BTC bear to the flag#NFA #VBTR #CTM🏄🌊 https://t.co/033Wh8ylQl,18,1,2021-07-20 23:42:18,$ BTC bear to the flag # NFA # vbtr # CTM 🏄 🌊 https://t.co/033wh8ylql 
26,MartyParty,@martypartymusic,18958,22485,New $BTC channel preaching short squeeze https://t.co/1FOY8EUp3Q,6,1,2021-07-20 23:40:11,New $ BTC channel preach short squeeze https://t.co/1foy8eup3q 
27,Buğra Sukas,@bugrasukas,51,140160,"@deezy_BTC Let's thank deezy for asking fire questions today while we are dumping. I like to make crazy predictions and turn bullish when the price is going down before the ETF approval, Jack and Elon talk and bigger stimulus packages on the horizon. :D https://t.co/QVdxSqTWfQ",30,1,2021-07-20 23:40:11,"@deezy_btc let we thank deezy for ask fire question today while we be dump . I like to make crazy prediction and turn bullish when the price be go down before the etf approval , Jack and Elon talk and big stimulus package on the horizon . :d https://t.co/qvdxsqtwfq "
28,Bitcoin Origins,@BitcoinOrigins,35,12945,Don't forget we are giving away a 4mb block from our M7 sale happening this Friday 10am PST There are only 42 of these blocks and they retail for $500 For your chance to win hit the link below 🚀https://t.co/tkdh99rbyp#NFTGiveaway #NFTs #NFT #Bitcoin #BTC #GiveawayAlert,17,2,2021-07-20 23:40:09,do not forget we be give away a 4 mb block from we M7 sale happen this Friday 10 am PST there be only 42 of this block and they retail for $ 500 for you chance to win hit the link below 🚀https://t.co/tkdh99rbyp#nftgiveaway # nft # NFT # Bitcoin # btc # giveaway alert 
29,diamondj.btc,@jdiamo91,503,176,First @BlockFi card transaction today. Can't believe I earned #btc for buying a red bull. #Bitcoin #stackingsats,9,2,2021-07-20 23:39:57,first @ block Fi card transaction today . can not believe I earn # btc for buy a red bull . # Bitcoin # stackingsat 
30,Steve Hanke,@steve_hanke,6829,342654,"Many people believe #Bitcoin is the ""currency of the future."" However, Bitcoin's excessive volatility is a constant reminder that it can never be a reliable unit of account, &amp; thus can NEVER be considered a currency. #BTC is just a highly speculative asset.https://t.co/xV3kHM5IjK",483,87,2021-07-20 23:39:36,"many people believe # Bitcoin be the "" currency of the future . "" however , Bitcoin 's excessive volatility be a constant reminder that it can never be a reliable unit of account , &amp ; thus can never be consider a currency . # BTC be just a highly speculative asset . https://t.co/xv3khm5ijk "
31,MillionToken | Jacuzzi on The Moon,@_MillionToken,117,1204,Hi guys my name is BiT BoY CrypTO and everyday I get paid to promote crappy projects that usually go down right after because of the owners minting new coins to enrich themselves.Hate me later. 😚#Crypto #Bitcoin #BTC #MillionToken #Ethereum https://t.co/lidPTZzDsk,56,18,2021-07-20 23:39:20,hi guy my name be bit BoY CrypTO and everyday I get pay to promote crappy project that usually go down right after because of the owner mint new coin to enrich themselves . hate I late . 😚# Crypto # Bitcoin # btc # million token # Ethereum https://t.co/lidptzzdsk 
32,Sounds Nerdy,@sounds_nerdy,21,22,"Top Story today""Nearly $90 billion wiped off crypto market as bitcoin drops below $30,000"" - https://t.co/8wlXkKGXnCMore tech news athttps://t.co/lF7PKQQER1#tech #technology #technews #news #nerd #bitcoin #btc #crypto #Cryptocurency #CryptoCurrency #cryptocurrencies https://t.co/baEzsJE4IQ",4,2,2021-07-20 23:38:55,"top Story today "" nearly $ 90 billion wipe off crypto market as bitcoin drop below $ 30000 "" - https://t.co/8wlxkkgxncmore tech news athttps://t.co/lf7pkqqer1#tech # technology # technews # news # nerd # bitcoin # btc # crypto # cryptocurency # cryptocurrency # cryptocurrency https://t.co/baezsje4iq "
33,LiveFree_Or_FookOff,@LiveFreeFookOff,467,941,@devchart Why watch influencers when you can use VeroxAI app? $VRX $BNB $BTC im probably the only person in profit this month. Lmfao. @Verox_AICrypto https://t.co/WdEpvwRfc5,3,1,2021-07-20 23:38:49,@devchart why watch influencer when you can use Verox ai app ? $ VRX $ bnb $ btc be probably the only person in profit this month . lmfao . @ verox_aicrypto https://t.co/wdepvwrfc5 
34,METEHAN AKMAN,@METEHANAKMAN7,45,8,"@ng6023 @Marrakesh81 @traderseyma Woooow#FreeDoge #FreeDogetoken @FreeDogeToken1Which one do you think 50x 100x 1000x 0xfac1f65c835f0e2af6b77b671bbfbbf9edbd8aaeYou are amazing, elon mask is talking about us#BTC      #BabyDoge  #Binance     #BSCGem #bscscan  #shıbhttps://t.co/5uTCNmhpQP",1,1,2021-07-20 23:38:18,"@ng6023 @ Marrakesh81 @traderseyma Woooow# free Doge # freedogetoken @ FreeDogeToken1 which one do you think 50 x 100 x 1000 x 0xfac1f65c835f0e2af6b77b671bbfbbf9edbd8aae you be amazing , elon mask be talk about we # btc # BabyDoge # binance # bscgem # bscscan # sh ı bhttps://t.co/5utcnmhpqp "
35,Dana M,@dana_marlane,809,749,"If $btc loses $25K, next stop would be $15-$16K. We need to see some serious volume here soon. #Bitcoin https://t.co/n1o9v1Axda",6,2,2021-07-20 23:37:48,"if $ btc lose $ 25 k , next stop would be $ 15 - $ 16 k . we need to see some serious volume here soon . # bitcoin https://t.co/n1o9v1axda "
36,Evan Kirstel the $B2B Techfluencer,@EvanKirstel,276857,303318,"𝐓𝐨𝐦𝐨𝐫𝐫𝐨𝐰, @CathieDWood, @Jack, and @elonmusk discuss all things #Bitcoin . Join live for #TheBWordRegistration and more information: https://t.co/DVl6f3TKSO cc @jeffpulver @jowyang #cryptocurrency #btc https://t.co/z6jg3vzFVU",6,2,2021-07-20 23:36:59,"𝐓𝐨𝐦𝐨𝐫𝐫𝐨𝐰 , @ CathieDWood , @ Jack , and @elonmusk discuss all thing # Bitcoin . join live for # TheBWordRegistration and more information : https://t.co/dvl6f3tkso cc @jeffpulver @jowyang # cryptocurrency # btc https://t.co/z6jg3vzfvu "
37,Mr CryptoBTC,@CryptobtcMr,11,58,BTC ON 1W  WILL CLOSE ABOVE 50 MA - #BTCUSDT chart https://t.co/OpY18GAXyB,48,49,2021-07-20 23:36:56,btc on 1w will close above 50 ma - # btcusdt chart https://t.co/opy18gaxyb 
38,Nick ⓣ 🇦🇺 🇹🇭 🇯🇵 🇻🇳,@VooDooRoo,526,309,Todays the day...Get in NOW at $0.000000000003All time high     $0.00000735#trip $Trip #BTC  #ETH #XRP https://t.co/r4gUMvAX9o,4,1,2021-07-20 23:36:50,today the day ... get in now at $ 0.000000000003 all time high $ 0.00000735#trip $ trip # btc # eth # xrp https://t.co/r4gumvax9o 
39,Anonymous Crypto Insider,@cryptoinsider88,0,1336,"This token is up 6,600 % within 24 hours....Keep in mind, most tokens are crashing right nowMy followers' grandchildren are now hedge fund trust babies.follow this account to not miss out on Bullrun Tokens.#doge #SHIB #shiba #SHIBARMY #dogearmy #bitcoin #btc #cryptocrash https://t.co/Wg4oID4xVD https://t.co/3xDtqm5YkM",8,2,2021-07-20 23:36:39,"this token be up 6600 % within 24 hour .... keep in mind , most token be crash right now my follower 's grandchild be now hedge fund trust baby . follow this account to not miss out on Bullrun Tokens . # doge # shib # shiba # SHIBARMY # dogearmy # bitcoin # btc # cryptocrash https://t.co/wg4oid4xvd https://t.co/3xdtqm5ykm "
40,Cajun Trader ✪,@RaginCajun,920,16102,$BTC still cheap. I'm told this is the only #bitcoin chart that matters. https://t.co/ZKcQ35cv5R,9,1,2021-07-20 23:36:05,$ BTC still cheap . I be tell this be the only # bitcoin chart that matter . https://t.co/zkcq35cv5r 
41,Maciej Cudera,@MCudera,804,5600,$FEG rank at @CoinGecko vs $FEG combined Market Cap (#FEGchart)To buy on https://t.co/syBV0bKwrF or:$FEG #ETH at @Uniswap$FEG #BSC at @PancakeSwap@FEGtoken #FEG #FEGex #FEGtrack #altcoin #altseason #blockchain #BNB #ETH #BTC #DeFi #ERC20 #BEP20 #PassiveIncome #FEGArmy #IamFEG https://t.co/HUJkdHHHKB,79,21,2021-07-20 23:35:56,$ FEG rank at @ CoinGecko versus $ FEG combine market cap ( # FEGchart ) to buy on https://t.co/sybv0bkwrf or:$ FEG # ETH at @ Uniswap $ FEG # bsc at @pancakeswap@fegtoken # FEG # FEGex # FEGtrack # altcoin # altseason # blockchain # bnb # eth # btc # defi # erc20 # bep20 # passive income # fegarmy # iamfeg https://t.co/hujkdhhhkb 
42,Bella 🥰🥰,@bella_bratty,2,281,I want my crypto portfolio to grow… and you’re going to make that happen loser xoDm for my wallet [ findom findomme ETH domme UKfindom GamerGirl BTC crypto ] https://t.co/KAggyclPzB,6,1,2021-07-20 23:35:32,I want my crypto portfolio to grow … and you be go to make that happen loser xo dm for my wallet [ findom findomme eth domme UKfindom gamer girl BTC crypto ] https://t.co/kaggyclpzb 
43,Joseph Madding,@TheVisionEx,385,682,"The best thing about #investing in #crypto RIGHT NOW is that if everyone thinks you're wrong, you know you're getting a great price.Those who #DCA on their buy orders are always going to get a better value while others fear buying in.$ETH $BTC $SAND $AXS #blockchain https://t.co/2Fe7SLK7U3",6,2,2021-07-20 23:35:05,"the good thing about # invest in # crypto right now be that if everyone think you be wrong , you know you be get a great price . that who # DCA on they buy order be always go to get a good value while other fear buy in . $ ETH $ btc $ sand $ axs # blockchain https://t.co/2fe7slk7u3 "
44,🆗,@Kosmatos,1896,2113,"When I walk around and see beautiful expensive homes and mansions, I *know* in a few years (say 4 to 10) that these will be going for about 1 BTC. Same as I figured back in 2013 (tweeted) that someday a new Tesla could be acquired for 1 BTC. Because I’m smart? No. B/c bitcoin is.",4,1,2021-07-20 23:33:03,"when I walk around and see beautiful expensive home and mansion , I * know * in a few year ( say 4 to 10 ) that this will be go for about 1 btc . same as I figure back in 2013 ( tweet ) that someday a new Tesla could be acquire for 1 btc . because I be smart ? no . b/c bitcoin be . "
45,Joe • Mitoshi 🧑‍🚀,@CryptoSays,796,84579,"This is another one messing things up for crypto, however I believe it is walking around on borrowed time. 1M WP Pivot coming in August (Also key 2W and 1W pivots in August for $BTC). That's why I said a couple months ago ""See you in August"". Patience my friends. $DXY https://t.co/i58iZXrGTW https://t.co/faqQItcrde",89,10,2021-07-20 23:32:57,"this be another one mess thing up for crypto , however I believe it be walk around on borrow time . 1M WP pivot come in August ( also key 2 W and 1w pivot in August for $ BTC ) . that be why I say a couple month ago "" see you in August "" . patience my friend . $ dxy https://t.co/i58izxrgtw https://t.co/faqqitcrde "
46,K A L E O,@CryptoKaleo,577,337297,"#Bitcoin / $BTCMaybe I'm crazy, but I still believe. https://t.co/Hi5MokEygY",5152,703,2021-07-20 23:32:52,"# Bitcoin / $ btcmaybe I be crazy , but I still believe . https://t.co/hi5mokeygy "
47,WW Fund 📈 🧙‍♂️,@WW_Fund,2762,474,"Trade $SOL, $ETH, #BTC &amp; $Doge on FTX USRegister here: https://t.co/J0I90izm2l",2,1,2021-07-20 23:32:19,"trade $ SOL , $ ETH , # btc &amp ; $ Doge on ftx USRegister here : https://t.co/j0i90izm2l "
48,MartyParty,@martypartymusic,18958,22485,If $BTC gets back to 32k will it drop again?,6,1,2021-07-20 23:30:51,if $ BTC get back to 32 k will it drop again ? 
49,YouthAdvisoryCouncil,@SBHAYAC,334,415,"6 DAYS UNTIL BTC!!! This is Andre, a second year council member! He’s looking forward to not only meeting everyone but also to what everyone will discover about SBHC’s together at BTC! #sbh4all #sbhayac https://t.co/xHNoHIKHAG",3,2,2021-07-20 23:30:50,"6 day until BTC !!! this be Andre , a second year council member ! he be look forward to not only meet everyone but also to what everyone will discover about SBHC 's together at BTC ! # sbh4all # sbhayac https://t.co/xhnohikhag "
50,Forrest Przybysz,@crypto_stackers,961,1795,CryptoStackers #48 | Trailblazers@mcuban If you'd like to claim this #NFT just DM me an appropriate ETH address within 48 hours and I'll send it to you. #Crypto #BTC #Ethereum https://t.co/Rlm8qfT75a,34,20,2021-07-20 23:29:58,cryptostacker # 48 | Trailblazers@mcuban if you would like to claim this # NFT just dm I a appropriate ETH address within 48 hour and I will send it to you . # crypto # btc # Ethereum https://t.co/rlm8qft75a 
51,Shibtard0 the Saitard,@RUShibbinMe,1129,820,Said the $btc maxi  😎 #Shibarmy #shibaswap $Shib #resistanceisfutile https://t.co/mmWTWTMV6n,4,1,2021-07-20 23:29:20,Said the $ btc maxi 😎 # Shibarmy # shibaswap $ shib # resistanceisfutile https://t.co/mmwtwtmv6n 
52,NFT information Alert,@NFT_info_alert,20,536,【49.75% Cheaper than Average】📉📉Title: Happy Hermit CrabOpensea:BidPrice:ETH 3.67dayVol:608.9713#NFT #CRYPTOART #opensea #hashmasks  $BTC #veefriends08:29 https://t.co/jiPpe8scPn,1,1,2021-07-20 23:29:16,【49.75 % Cheaper than Average】📉 '' title : happy Hermit CrabOpensea : bidprice:eth 3.67day vol:608.9713#nft # cryptoart # opensea # hashmask $ btc # veefriend 's 08:29 https://t.co/jippe8scpn 
53,CRYPTOWZRD,@cryptoWZRD_,102,66935,"BTC Daily Technical Outlook:$BTC is teasing the $30,000 area. The next major support target is $27,000. A slingshot to $27,000 and then a reversal is possible. My primary attention will be on the intraday chart and I’ll be looking for a scalp from the intraday volatility 🤔 https://t.co/EpMZkDdj9A",75,18,2021-07-20 23:28:21,BTC daily technical Outlook : $ BTC be tease the $ 30000 area . the next major support target be $ 27000 . a slingshot to $ 27000 and then a reversal be possible . my primary attention will be on the intraday chart and I will be look for a scalp from the intraday volatility '' https://t.co/epmzkddj9a 
54,pleb_Greg Foss 🇨🇦 / 🇸🇻🌋,@FossGregfoss,1056,26015,#Math is the base layer of language.Yellen and clan likely didn't fail #math but they are trying to use second layer logic to distort first layer truths.They are scared and it is telling.  Cuz truth always wins.#btc = truthPS.  Trudeau failed #math and truth escapes JT.,191,14,2021-07-20 23:27:40,# math be the base layer of language . Yellen and clan likely do not fail # math but they be try to use second layer logic to distort first layer truth . they be scared and it be tell . cuz truth always win . # btc = truth PS. Trudeau fail # math and truth escape JT. 
55,Forrest Przybysz,@crypto_stackers,961,1795,CryptoStackers #47 | Trailblazers@michael_saylor If you'd like to claim this #NFT just DM me an appropriate ETH address within 48 hours and I'll send it to you. #Crypto #BTC #ETHhttps://t.co/vMUM6qSvBC,35,26,2021-07-20 23:27:23,cryptostacker # 47 | Trailblazers@michael_saylor if you would like to claim this # NFT just dm I a appropriate ETH address within 48 hour and I will send it to you . # crypto # btc #ethhttps://t.co/vmum6qsvbc 
56,WW Fund 📈 🧙‍♂️,@WW_Fund,2762,474,"Trade $SOL, $ETH, #BTC &amp; $Doge on FTX USRegister here: https://t.co/J0I90izm2l",1,1,2021-07-20 23:27:09,"trade $ SOL , $ ETH , # btc &amp ; $ Doge on ftx USRegister here : https://t.co/j0i90izm2l "
57,M,@Cryptokingmerc,150,20,@brandank_cr $GOGE will be unbeatable!!! @DogeGaySon this is gonna be one of the best launches on bsc in a minute#SAFEMOON #FLOKI #MillionToken #Pancakeswapv2 #SHIBARMY #dogecoin #dogearmy #BTC #Ethereum #BNB #BSCGems,3,1,2021-07-20 23:26:48,@brandank_cr $ goge will be unbeatable !!! @ DogeGay son this be gonna be one of the good launch on bsc in a minute # SAFEMOON # floki # million token # Pancakeswapv2 # SHIBARMY # dogecoin # dogearmy # btc # Ethereum # bnb # bscgem 
58,Mr Mule,@mr96dump_proof,158,128,@CryptoWizardd @elonmusk It’s over !!! $FLOKI @RealFlokiInu #FLOKITAKEOVER #BTC,10,4,2021-07-20 23:26:18,@Crypto Wizardd @elonmusk it be over !!! $ floki @ RealFlokiInu # FLOKITAKEOVER # BTC 
59,SatoshiX,@SatoshiX_,5,5,"🔥🔥🔥🔥QUICK FAQ!! 🔥Project started on 20th July.🔥Total supply of $SatoshiX 1 000 000 000, 40% burned already.🔥Max wallet is 30 000 000 $STX🔥Max sell is 3 000 000 $STX🔥To earn BTC, you need to hold minimum of 10 000 $SatoshiX.",2,1,2021-07-20 23:25:47,"🔥🔥🔥 '' quick faq !! 🔥 Project start on 20th July . '' total supply of $ SatoshiX 1 000 000 000 , 40 % burn already . '' Max wallet be 30 000 000 $ STX '' Max sell be 3 000 000 $ STX '' to earn BTC , you need to hold minimum of 10 000 $ SatoshiX . "
